Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/14/2025,12/16/2025,FedEx Office,Office Supplies,Sale,79.29,
12/14/2025,12/16/2025,Costco,Groceries,Sale,235.68,
12/15/2025,12/17/2025,Lyft,Transportation,Sale,9.56,
12/15/2025,12/16/2025,Lowe's,Home Improvement,Sale,222.9,
12/15/2025,12/16/2025,Uber Eats,Food Delivery,Sale,173.21,
12/16/2025,12/18/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-681.43,
12/18/2025,12/20/2025,Safeway,Groceries,Sale,54.49,
12/18/2025,12/18/2025,Grubhub,Food Delivery,Sale,154.26,
12/18/2025,12/19/2025,Water Utility,Utilities,Sale,188.71,
12/19/2025,12/19/2025,PRICE ADJUSTMENT,Adjustments,Credit,-111.06,
12/19/2025,12/19/2025,Internet Service,Utilities,Sale,120.46,
12/19/2025,12/21/2025,DoorDash,Food Delivery,Sale,220.01,
12/19/2025,12/20/2025,Walgreens,Pharmacy,Sale,184.99,
12/19/2025,12/20/2025,Internet Service,Utilities,Sale,260.16,
12/19/2025,12/19/2025,Microsoft Store,Electronics,Sale,46.02,
12/20/2025,12/22/2025,Postmates,Food Delivery,Sale,166.03,
12/20/2025,12/22/2025,DISPUTE RESOLUTION CREDIT,Adjustments,Credit,-42.58,
12/20/2025,12/21/2025,Postmates,Food Delivery,Sale,104.65,
12/21/2025,12/22/2025,LA Fitness,Fitness,Sale,117.97,
12/21/2025,12/22/2025,IKEA,Home Improvement,Sale,277.26,
12/23/2025,12/24/2025,Red Lobster,Restaurants,Sale,117.53,
12/23/2025,12/24/2025,Apple Store,Electronics,Sale,210.92,
12/23/2025,12/24/2025,RETURN - FedEx Office,Office Supplies,Return,-149.42,
12/23/2025,12/24/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1985.58,
12/23/2025,12/24/2025,Kroger,Groceries,Sale,59.8,
12/24/2025,12/25/2025,Apple Store,Electronics,Sale,270.53,
12/24/2025,12/26/2025,Uber,Transportation,Sale,252.76,
12/24/2025,12/25/2025,Mobil,Gas,Sale,68.06,
12/24/2025,12/26/2025,RETURN - Target,Shopping,Return,-74.49,
12/25/2025,12/26/2025,Lowe's,Home Improvement,Sale,131.49,
12/27/2025,12/29/2025,TJ Maxx,Shopping,Sale,136.03,
12/27/2025,12/27/2025,RETURN - Rite Aid,Pharmacy,Return,-61.45,
12/27/2025,12/29/2025,Delta Airlines,Travel,Sale,265.09,
12/27/2025,12/28/2025,24 Hour Fitness,Fitness,Sale,213.81,
12/28/2025,12/29/2025,Lyft,Transportation,Sale,229.08,
12/28/2025,12/29/2025,CVS Pharmacy,Pharmacy,Sale,279.09,
12/28/2025,12/30/2025,PetSmart,Pet Care,Sale,178.02,
12/29/2025,12/29/2025,RETURN - Costco,Groceries,Return,-103.09,
12/30/2025,12/31/2025,BILLING CORRECTION,Adjustments,Credit,-42.23,
12/30/2025,12/30/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1809.63,
12/30/2025,01/01/2026,Lyft,Transportation,Sale,188.23,
